model,dataset,flip_rate,mean_yes_pct,mean_brd,brd_ci_lo,brd_ci_hi,min_brd,mean_acc,acc_ci_lo,acc_ci_hi,debate_brd,baseline_yes_pct,baseline_brd,base_rate
gemini/gemini-2.5-flash,nlsy97,0.24,0.66693,0.30693000000000004,0.24,0.38,0.21999999999999997,0.510524,0.42,0.6,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.25,0.6604479999999999,0.30044800000000005,0.22999999999999998,0.37,0.20999999999999996,0.51035,0.43,0.59,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.26,0.6537620000000001,0.29376199999999997,0.24,0.36,0.20000000000000007,0.5102080000000001,0.42,0.6,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.27,0.6473200000000001,0.28732,0.22999999999999998,0.35,0.19000000000000006,0.5089739999999999,0.43,0.59,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.28,0.641026,0.281026,0.21999999999999997,0.36,0.18000000000000005,0.5087880000000001,0.42,0.6,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.29,0.6343120000000001,0.27431200000000006,0.20999999999999996,0.35,0.17000000000000004,0.5084219999999999,0.41,0.59,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.3,0.628046,0.268046,0.20000000000000007,0.33999999999999997,0.16000000000000003,0.5086440000000001,0.42,0.6,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.31,0.6220960000000001,0.262096,0.19000000000000006,0.32999999999999996,0.15000000000000002,0.5074139999999999,0.41,0.59,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.32,0.614964,0.254964,0.18000000000000005,0.32000000000000006,0.14,0.50655,0.42,0.6,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.33,0.609442,0.249442,0.19000000000000006,0.32999999999999996,0.13,0.5072,0.41,0.59,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.34,0.6021920000000001,0.24219200000000002,0.18000000000000005,0.32000000000000006,0.12,0.5064960000000001,0.42,0.6,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.35,0.595966,0.23596599999999998,0.17000000000000004,0.31000000000000005,0.13,0.506232,0.41,0.59,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.36,0.5898399999999999,0.22984000000000004,0.16000000000000003,0.30000000000000004,0.10000000000000003,0.5062,0.42,0.6,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.37,0.5836999999999999,0.2237,0.15000000000000002,0.29000000000000004,0.09000000000000002,0.505428,0.41,0.59,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.38,0.576616,0.21661599999999998,0.14,0.28,0.10000000000000003,0.504184,0.4,0.6,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.39,0.570372,0.21037200000000003,0.13,0.29000000000000004,0.09000000000000002,0.50384,0.41,0.59,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.4,0.56375,0.20375000000000004,0.14,0.28,0.08000000000000002,0.50432,0.4,0.6,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.41,0.55821,0.19821,0.13,0.27,0.07,0.503754,0.41,0.59,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.42,0.551174,0.191174,0.12,0.26,0.06,0.502676,0.4,0.6,0.22407079646017702,0.82,0.45999999999999996,0.36
